name,certificate,distribution,score,amount,Date,Extra,duration
Book of Love (1990),USA:PG-13,0000121101,6.1,903,USA:October-1990-,(limited),82
Book of Love (1990),USA:R,0000121101,6.1,903,USA:October-1990-,(limited),82
Book of Love (1990),USA:PG-13,0000121101,6.1,903,USA:1-February-1991,,82
Book of Love (1990),USA:R,0000121101,6.1,903,USA:1-February-1991,,82
Book of Love (2004),USA:R,0000111001,5.4,1523,USA:1-May-2005,(videopremiere),83
Book of Love (2004),USA:R,0000111001,5.4,1523,USA:18-January-2004,(SundanceFilmFestival),83
Book of Love (2004),USA:R,0000111001,5.4,1523,USA:19-March-2004,(ClevelandInternationalFilmFestival),83
Boom (1968),USA:PG,0000111001,5.6,1099,USA:26-May-1968,,110
Boom (1968),USA:Approved,0000111001,5.6,1099,USA:26-May-1968,,110
Bør Børson Jr. (1938),USA:Approved,.00..042.0,6.7,13,USA:3-November-1939,,92
Bora Bora (1968),USA:R,0011110101,6.1,68,USA:November-1970,,90
Border Law (1931),USA:Passed,.001211100,6.1,56,USA:15-October-1931,,61
Border Romance (1929),USA:Passed,...2103..2,6.6,14,USA:25-May-1929,,71
Boricua (2004),USA:R,0.00011101,6.4,106,USA:5-May-2004,(TribecaFilmFestival),100
Boricua (2004),USA:R,0.00011101,6.4,106,USA:9-October-2004,(ChicagoInternationalFilmFestival),100
Born American (1986),USA:R,1011110000,4.3,1520,USA:29-August-1986,,95
Born Bad (1997),USA:R,0001110002,5.4,246,USA:26-October-1999,(videopremiere),88
Born in East L.A. (1987),USA:R,0000121000,5.9,4680,USA:21-August-1987,,93
Born Into Mafia (2007),USA:R,700...0.01,1.8,171,USA:10-July-2007,(DVDpremiere),78
Born of Fire (1987),USA:R,0000111101,6.0,208,USA:April-1987-,(HoustonFilmFestival),84
Born of Fire (1987),USA:R,0000111101,6.0,208,USA:13-October-1987,(ChicagoFilmFestvial),84
Born to Be Wild (1938),USA:Approved,0001211101,5.9,40,USA:16-February-1938,,66
Born to Be Wild (1938),USA:Passed,0001211101,5.9,40,USA:16-February-1938,,66
Boule de suif (1945),USA:Approved,0.00011210,7.2,118,USA:22-February-1947,,85
Bound (1996),USA:R,0000012211,7.4,44030,USA:4-October-1996,,109
Bound by Honor (1993),USA:R,0000001212,8.0,24940,USA:30-April-1993,,190
Bound by Honor (1993),USA:R,0000001212,8.0,24940,USA:5-February-1993,(limited),190
Bowery Blitzkrieg (1941),USA:Approved,0000011122,7.1,494,USA:1-August-1941,,60
Bowery Blitzkrieg (1941),USA:Approved,0000011122,7.1,494,USA:1-August-1941,,63
Bowery Blitzkrieg (1941),USA:Approved,0000011122,7.1,494,USA:1-February-1949,(re-release),60
Bowery Blitzkrieg (1941),USA:Approved,0000011122,7.1,494,USA:1-February-1949,(re-release),63
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:22-February-2011,(SedonaFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:19-November-2010,(WilliamsburgIndependentFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:17-September-2011,(MaelstromInternationalFantasticFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:12-August-2010,(RhodeIslandInternationalFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:21-October-2011,(limited),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:31-March-2011,(VailFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:6-August-2011,(HardAcreFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:7-October-2011,(TacomaFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:14-January-2011,(FestivusFilmFestival),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:8-November-2011,(DVDpremiere),93
Boy Wonder (2010),USA:R,0000013200,6.9,8032,USA:1-April-2011,(DallasInternationalFilmFestival),93
Boys of the City (1940),USA:Approved,0000111111,6.7,488,USA:1-February-1949,(re-release),62
Boys of the City (1940),USA:Approved,0000111111,6.7,488,USA:15-July-1940,,62
Brain Donors (1992),USA:PG,0000011112,7.1,3516,USA:17-April-1992,,80
Braindead (1992),USA:R,0000001211,7.5,82550,USA:12-February-1993,,97
Braindead (1992),USA:R,0000001211,7.5,82550,USA:12-February-1993,,85
Bran Nue Dae (2009),USA:PG-13,0000112101,6.3,1503,USA:8-February-2010,(SantaBarbaraInternationalFilmFestival),85
Bran Nue Dae (2009),USA:PG-13,0000112101,6.3,1503,USA:1-June-2010,(SeattleInternationalFilmFestival),85
Bran Nue Dae (2009),USA:PG-13,0000112101,6.3,1503,USA:10-September-2010,(limited),85
Bran Nue Dae (2009),USA:PG-13,0000112101,6.3,1503,USA:26-April-2010,(NewportBeachInternationalFilmFestival),85
Bran Nue Dae (2009),USA:PG-13,0000112101,6.3,1503,USA:22-January-2010,(SundanceFilmFestival),85
Branded (2012),USA:R,1001111000,4.7,8168,USA:7-September-2012,,106
Bratz (2007),USA:PG,4000000001,2.9,15681,USA:3-August-2007,,110
Brazil (1944),USA:Approved,0000110003,6.4,128,USA:30-November-1944,,60
Brazil (1944),USA:Passed,0000110003,6.4,128,USA:30-November-1944,,60
Brazil (1985),USA:R,0000001222,8.0,164563,USA:18-December-1985,,94
Breach of Trust (1995),USA:R,0001111001,5.7,376,USA:12-March-1996,(videopremiere),96
BreadCrumbs (2011),USA:R,1221100000,3.2,717,USA:25-January-2011,(DVDpremiere),88
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:19-June-2008,(ProvincetownFilmFestival),95
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:11-January-2008,(PalmSpringsInternationalFilmFestival),95
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:18-March-2009,(QFest),95
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:10-October-2008,(limited),95
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:29-June-2008,(SanFranciscoInternationalLGBTFilmFestival),95
Breakfast with Scot (2007),USA:PG-13,0000012101,6.8,2659,USA:26-May-2008,(SeattleInternationalFilmFestival),95
Breaking Point (2009),USA:R,0001110001,4.9,597,USA:7-April-2011,(MemphisFilmFestival),93
Breaking Point (2009),USA:R,0001110001,4.9,597,USA:4-December-2009,(limited),93
Breaking Point (2009),USA:R,0001110001,4.9,597,USA:12-January-2010,(DVDpremiere),93
Breaking the Waves (1996),USA:R,0000001222,7.9,52970,USA:November-1996-,(FortLauderdaleInternationalFilmFestival),153
Breaking the Waves (1996),USA:R,0000001222,7.9,52970,USA:4-October-1996,(NewYorkFilmFestival),153
Breaking the Waves (1996),USA:R,0000001222,7.9,52970,USA:18-October-2014,(ChicagoInternationalFilmFestival),153
Breaking the Waves (1996),USA:R,0000001222,7.9,52970,USA:October-1996-,(ChicagoInternationalFilmFestival),153
Breaking the Waves (1996),USA:R,0000001222,7.9,52970,USA:13-November-1996,,153
Breaking Waves (2011),USA:PG-13,3...00..05,6.4,23,USA:30-December-2011,(limited),120
Breakup at a Wedding (2013),USA:PG-13,1000001002,5.0,164,USA:18-June-2013,,85
Brick Bradford (1947),USA:Passed,000.221100,6.1,45,USA:18-December-1947,,257
Brick Bradford (1947),USA:Approved,000.221100,6.1,45,USA:18-December-1947,,257
Bride of the Gorilla (1951),USA:Passed,0112110000,4.4,869,USA:October-1951,,66
Bride of the Gorilla (1951),USA:Approved,0112110000,4.4,869,USA:October-1951,,66
Bride of the Wind (2001),USA:R,0001121100,5.7,542,USA:8-June-2001,(limited),99
Brideshead Revisited (2008),USA:PG-13,0000022100,6.7,10686,USA:15-August-2008,,133
Brideshead Revisited (2008),USA:PG-13,0000022100,6.7,10686,USA:25-July-2008,(limited),133
Brilliant Lies (1996),USA:R,0000122100,6.1,292,USA:11-July-1997,,88
Britannia Hospital (1982),USA:R,0000122100,6.3,1949,USA:November-1982-,(ChicagoInternationalFilmFestival),111
British Intelligence (1940),USA:Approved,0000132000,6.0,688,USA:29-January-1940,,61
Broadway Scandals (1929),USA:Passed,1....61...,5.3,6,USA:10-November-1929,,73
Broadway Serenade (1939),USA:Passed,0000212001,5.8,153,USA:7-April-1939,,109
Broadway Serenade (1939),USA:Approved,0000212001,5.8,153,USA:7-April-1939,,109
Broken Bridges (2006),USA:PG-13,0000011102,6.2,1498,USA:8-September-2006,,105
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:January-2007-,(SundanceFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:21-April-2007,(AliveDeepFocusFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:14-April-2007,(PhiladelphiaInternationalFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:17-May-2007,(JacksonvilleFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:13-June-2007,(NantucketFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:21-April-2007,(NewportBeachInternationalFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:14-June-2007,(LasVegasCineVegasFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:8-June-2007,(JacksonHoleFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:22-June-2007,(limited),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:19-May-2007,(BerkshireInternationalFilmFest),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:8-June-2007,(SeattleInternationalFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:21-April-2007,(SalemFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:25-April-2007,(IndianapolisInternationalFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:28-July-2007,(WineCountryFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:14-June-2007,(ProvincetownInternationalFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:5-May-2007,(MarylandFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:20-April-2007,(SarasotaFilmFestival),93
Broken English (2007),USA:PG-13,0000122100,6.4,5690,USA:30-April-2007,(SanFranciscoInternationalFilmFestival),93
Broken Hearts of Hollywood (1926),USA:Passed,...22..6..,6.6,5,USA:14-August-1926,,80
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:3-October-2004,(ConeyIslandFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:5-August-2004,(UrbanworldFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:7-July-2005,(DVDpremiere),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:8-April-2005,(AtlanticFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:10-April-2005,(SpaghettiJunctionUrbanFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:14-April-2005,(limited),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:16-October-2004,(DenverInternationalFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:28-January-2005,(SarasotaFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:3-May-2004,(TribecaFilmFestival),90
Brooklyn Bound (2004),USA:R,0000010002,5.8,122,USA:19-November-2004,(QueensFilmFestival),90
Brooklyn Lobster (2005),USA:R,1000012101,6.4,418,USA:4-November-2005,,94
Brotherhood of Death (1976),USA:R,0001211000,5.3,375,USA:September-1976,,90
Brothers at War (2009),USA:R,0000011102,6.6,551,USA:13-March-2009,(limited),110
Brothers at War (2009),USA:R,0000011102,6.6,551,USA:12-January-2010,(DVDpremiere),110
Brothers in Arms (2003),USA:R,1000010002,5.9,55,USA:21-October-2003,,68
Brutal (2006),USA:R,2000000110,5.2,37,USA:6-April-2008,(DVDpremiere),90
Bu ze shou duan (1978),USA:R,00101210.1,5.5,47,USA:1980,,81
Buck (2011),USA:PG,0000002212,7.6,2963,USA:21-January-2011,(SundanceFilmFestival),88
Buck (2011),USA:PG,0000002212,7.6,2963,USA:16-June-2011,(ProvincetownInternationalFilmFestival),88
Buck (2011),USA:PG,0000002212,7.6,2963,USA:17-June-2011,(limited),88
Buckskin Frontier (1943),USA:Approved,00.0222000,6.0,103,USA:14-May-1943,,76
Buckskin Frontier (1943),USA:Passed,00.0222000,6.0,103,USA:14-May-1943,,76
Bucky Larson: Born to Be a Star (2011),USA:R,3100000000,3.3,10028,USA:9-September-2011,,97
Bugged (1997),USA:PG-13,1111110000,4.0,165,USA:9-December-1997,(videopremiere),82
Bugsy (1991),USA:R,0000023100,6.8,22391,USA:13-December-1991,(limited),149
Bugsy (1991),USA:R,0000023100,6.8,22391,USA:20-December-1991,,149
Bullet (1996),USA:R,0000112101,6.6,6869,USA:October-1996-,(limited),96
Bullet (1996),USA:R,0000112101,6.6,6869,USA:October-1996-,(limited),100
Bullet (1996),USA:R,0000112101,6.6,6869,USA:June-1997-,(videopremiere),96
Bullet (1996),USA:R,0000112101,6.6,6869,USA:June-1997-,(videopremiere),100
Bullfighter and the Lady (1951),USA:Approved,0000012211,7.0,406,USA:26-April-1951,,124
Bullies (1986),USA:R,0000111000,5.4,349,USA:29-August-1986,,90
Bullrider (2006),USA:PG,40.0010000,4.0,36,USA:21-May-2006,(limited),90
Bullseye! (1990),USA:PG-13,1011110001,4.6,1113,USA:28-August-1991,(videopremiere),95
Bunny Whipped (2007),USA:R,2011000001,3.5,170,USA:April-2007,,91
Bunnyman (2011),USA:R,3110000000,3.0,955,USA:21-June-2011,,90
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:29-April-2004,(WestVirginiaInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:23-October-2004,(FortLauderdaleInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:2-October-2004,(WestVirginiaFilmmakersFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:18-September-2004,(BigBearLakeInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:26-July-2003,(DancesWithFilmsFestivaloftheUnknowns),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:3-April-2004,(MassBayInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:3-September-2004,(ChannelIslandsIndieFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:20-October-2004,(SmmashFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:15-October-2004,(SmmashFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:20-March-2007,(DVDpremiere),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:8-March-2003,(CinequestFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:2-June-2005,(SeattleTrueIndependentFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:11-November-2004,(FortLauderdaleInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:17-March-2005,(IFPNewFilmWorks),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:26-September-2004,(SilverLakeFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:24-October-2003,(HamptonsInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:13-August-2004,(RhodeIslandInternationalFilmFestival),95
Burning Annie (2004),USA:R,1000001002,5.6,259,USA:17-July-2003,(GenArtFilmFestival),95
Burning Secret (1988),USA:PG,0000112200,6.6,335,USA:23-December-1988,,106
Butter (2011),USA:R,0000122100,6.2,18455,USA:19-October-2011,(ChicagoInternationalFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:4-September-2011,(TellurideFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:13-November-2011,(DenverInternationalFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:29-September-2012,(SouthDakotaFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:6-November-2011,(VirginiaFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:19-November-2011,(St.LouisInternationalFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:1-November-2011,(SavannahFilmandVideoFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:8-October-2011,(MillValleyFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:28-October-2011,(FortLauderdaleInternationalFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:16-October-2011,(TheHamptonsFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:20-October-2011,(AustinFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:23-October-2011,(PhillyFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:12-November-2011,(LoneStarFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:5-October-2012,(limited),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:10-November-2011,(NapaValleyFilmFestival),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:6-November-2011,(AFIFest),90
Butter (2011),USA:R,0000122100,6.2,18455,USA:22-October-2011,(HawaiiFilmFestival),90
Buy & Cell (1988),USA:R,0011110000,5.1,340,USA:25-April-1989,(videopremiere),95
Bye Bye Baby (1988),USA:R,1111100001,3.7,183,USA:April-1989,,85
Bye Bye Baby (1988),USA:R,1111100001,3.7,183,USA:26-May-1989,,85
Bye Bye Brasil (1980),USA:R,0000011211,7.5,1216,USA:26-September-1980,(NewYorkFilmFestival),110
C Me Dance (2009),USA:PG,7000000000,1.4,347,USA:3-April-2009,(limited),89
C.B. Hustlers (1976),USA:R,3210000000,2.3,172,USA:1-January-1976,,75
Cabeza de Vaca (1991),USA:R,0000011211,7.0,894,USA:23-March-1991,(NewYorkNewDirectorsandNewFilmsFestival),111
Cabeza de Vaca (1991),USA:R,0000011211,7.0,894,USA:17-April-1992,,111
Caboblanco (1980),USA:R,0001111001,5.7,689,USA:1-February-1981,,87
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:7-November-2004,(OutTakesDallasLesbianandGayFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:12-August-2004,(NorthCarolinaGayandLesbianFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:4-September-2004,(AustinGayandLesbianInternationalFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:7-May-2004,(TribecaFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:12-November-2004,(RehobothBeachIndependentFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:17-July-2004,(PhiladelphiaInternationalGayandLesbianFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:28-April-2004,(MiamiGayandLesbianFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:5-November-2004,(limited),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:18-November-2004,(AtlantaGayandLesbianFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:16-October-2004,(SeattleLesbianandGayFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:8-October-2004,(RochesterImageOutLesbianandGayFilmandVideoFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:3-February-2005,(ReelPrideMichiganGLBTFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:10-October-2004,(ChicagoInternationalFilmFestival),99
Cachorro (2004),USA:R,0000001212,7.2,3340,USA:22-October-2004,(ReelAffirmationsInternationalGayandLesbianFilmFestival),99
Cactus in the Snow (1971),USA:GP,0.01021102,7.3,45,USA:December-1971,,90
Cactus in the Snow (1971),USA:PG,0.01021102,7.3,45,USA:December-1971,,90
Caesar and Cleopatra (1945),USA:Approved,0000122100,6.4,2021,USA:6-September-1946,,123
Caesar and Cleopatra (1945),USA:Approved,0000122100,6.4,2021,USA:6-September-1946,,128
Cage II (1994),USA:R,2101100001,4.3,256,USA:14-December-1994,,106
Caged Fear (1991),USA:R,0011201001,4.6,155,USA:18-November-1992,(videopremiere),93
Caged No More (2016),USA:PG-13,1000011002,5.4,225,USA:22-January-2016,,90
Caligola (1979),USA:R,0001111000,5.3,29361,USA:15-February-1980,,148
Caligola (1979),USA:R,0001111000,5.3,29361,USA:15-February-1980,,102
Caligola (1979),USA:R,0001111000,5.3,29361,USA:24-September-1999,(re-release),148
Caligola (1979),USA:R,0001111000,5.3,29361,USA:24-September-1999,(re-release),102
Call of the Canyon (1942),USA:Approved,.001022100,6.6,60,USA:17-August-1942,,71
Call of the Canyon (1942),USA:Passed,.001022100,6.6,60,USA:17-August-1942,,71
Call of the Wild (1935),USA:Approved,0000023100,6.9,1419,USA:23-June-1945,(re-release),81
Call of the Wild (1935),USA:Approved,0000023100,6.9,1419,USA:9-August-1935,,81
Call Out the Marines (1942),USA:Passed,10012100.0,5.0,80,USA:13-February-1942,,67
Call Out the Marines (1942),USA:Approved,10012100.0,5.0,80,USA:13-February-1942,,67
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:10-October-2002,(ColumbusCitizensFoundationSalutetoFrancoZeffirelli),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:5-November-2004,(limited),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:20-June-2004,(SanFranciscoInternationalLesbianandGayFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:17-June-2004,(ProvincetownInternationalFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:October-2003-,(ChicagoInternationalFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:21-June-2005,(DVDpremiere),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:4-February-2005,(ReelPrideMichiganGLBTFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:9-June-2004,(NewYorkLesbianandGayFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:1-November-2003,(HawaiiFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:9-January-2003,(PalmSpringsInternationalFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:18-October-2004,(ReelAffirmationsInternationalGayandLesbianFilmFestival),111
Callas Forever (2002),USA:PG-13,0000112101,6.6,1901,USA:18-September-2004,(FresnoReelPrideGayandLesbianFilmFestival),111
Calling All Marines (1939),USA:Approved,...11121.1,6.7,7,USA:20-September-1939,,67
Calling All Marines (1939),USA:PG,...11121.1,6.7,7,USA:20-September-1939,,67
Calling Bulldog Drummond (1951),USA:Approved,.000131100,6.1,281,USA:14-December-1951,,80
Camila (1984),USA:R,0000012111,7.0,936,USA:15-March-1985,,105
Camille (1921),USA:Passed,0000122100,6.6,771,USA:26-September-1921,,72
Camille (1921),USA:Passed,0000122100,6.6,771,USA:26-September-1921,,70
Camille Claudel (1988),USA:R,0000012211,7.3,5302,USA:21-December-1989,,158
Camp Hell (2010),USA:R,2111100000,3.5,1917,USA:13-August-2010,(limited),99
Can que (1978),USA:R,0000012211,7.5,1753,USA:November-1981,,100
Candy (1968),USA:R,0001111001,5.4,2240,USA:17-December-1968,,115
Candy (2006),USA:R,0000012211,7.3,38489,USA:October-2006-,(ChicagoInternationalFilmFestival),108
Candy (2006),USA:R,0000012211,7.3,38489,USA:21-October-2006,(MilwaukeeInternationalFilmFestival),108
Candy (2006),USA:R,0000012211,7.3,38489,USA:20-October-2006,(OrlandoFilmFestival),108
Candy (2006),USA:R,0000012211,7.3,38489,USA:17-November-2006,(limited),108
Candy (2006),USA:R,0000012211,7.3,38489,USA:8-September-2006,(KansasCityFilmFestival),108
Canes (2006),USA:R,2111100000,3.4,490,USA:3-October-2006,(DVDpremiere),90
Cannonball! (1976),USA:R,0001221000,5.5,3636,USA:6-July-1976,,93
Cannonball! (1976),USA:PG,0001221000,5.5,3636,USA:6-July-1976,,93
Capers (2008),USA:PG-13,0001111001,5.3,314,USA:27-April-2009,(NewportBeachInternationalFilmFestival),86
Capers (2008),USA:PG-13,0001111001,5.3,314,USA:27-November-2009,,86
Capers (2008),USA:PG-13,0001111001,5.3,314,USA:1-November-2008,(Ft.LauderdaleFilmFestival),86
Capone (1975),USA:R,0000221000,5.8,2175,USA:16-April-1975,,101
Cappy Ricks Returns (1935),USA:Approved,2..24.2...,4.4,5,USA:25-September-1935,,69
Cappy Ricks Returns (1935),USA:Passed,2..24.2...,4.4,5,USA:25-September-1935,,69
Captain Apache (1971),USA:PG,0011210000,4.8,614,USA:27-October-1971,,94
Captain Apache (1971),USA:GP,0011210000,4.8,614,USA:27-October-1971,,94
Captain Blood (1935),USA:Approved,0000002311,7.8,10708,USA:19-December-1935,(premiere),99
Captain Blood (1935),USA:Approved,0000002311,7.8,10708,USA:28-December-1935,,99
Captain China (1950),USA:Approved,0000111101,6.2,70,USA:2-February-1950,,97
Captain China (1950),USA:Passed,0000111101,6.2,70,USA:2-February-1950,,97
Captain Midnight (1942),USA:Passed,0..0111002,7.1,74,USA:15-February-1942,,270
Captain Midnight (1942),USA:Approved,0..0111002,7.1,74,USA:15-February-1942,,270
Captains of the Clouds (1942),USA:Approved,0000122100,6.5,1136,USA:21-February-1942,,113
Captive Hearts (1987),USA:PG,0000112101,6.1,193,USA:5-June-1987,,97
Cardinal Richelieu (1935),USA:Approved,0000122100,6.3,143,USA:28-April-1935,,82
Cardinal Richelieu (1935),USA:Approved,0000122100,6.3,143,USA:28-April-1935,,81
Careless (2007),USA:R,0001211000,4.9,380,USA:2007,,90
Careless (2007),USA:R,0001211000,4.9,380,USA:24-June-2008,(DVDpremiere),90
Cargo (2006),USA:R,0001211000,5.1,962,USA:17-January-2017,(re-release),90
Cargo (2006),USA:R,0001211000,5.1,962,USA:24-January-2006,(SundanceFilmFestival),90
Caribbean (1952),USA:Passed,0001121000,6.0,133,USA:September-1952,,91
Caribbean (1952),USA:Approved,0001121000,6.0,133,USA:September-1952,,91
Carjacked (2011),USA:R,0001211000,5.0,3667,USA:22-November-2011,(DVDpremiere),89
Carmen in 3D (2011),USA:PG-13,00.0101112,7.3,67,USA:5-March-2011,,170
Carmen in 3D (2011),USA:PG-13,00.0101112,7.3,67,USA:6-February-2011,(SantaBarbaraFilmFestival),170
Carol Channing: Larger Than Life (2012),USA:PG,0000002211,7.6,223,USA:20-January-2012,(limited),87
Carol Channing: Larger Than Life (2012),USA:PG,0000002211,7.6,223,USA:April-2012-,(NewportBeachInternationalFilmFestival),87
Carol Channing: Larger Than Life (2012),USA:PG,0000002211,7.6,223,USA:26-March-2012,(ClevelandInternationalFilmFestival),87
Carolina Moon (1940),USA:Approved,.000112100,6.5,55,USA:15-July-1940,,64
Carolina Moon (1940),USA:Passed,.000112100,6.5,55,USA:15-July-1940,,64
Carriers (2009),USA:PG-13,0000122000,6.0,37502,USA:4-September-2009,(limited),84
Casa de Areia (2005),USA:R,0000002211,7.4,2763,USA:11-August-2006,(limited),115
Casa de mi Padre (2012),USA:R,0001121000,5.5,18263,USA:13-March-2012,(SouthbySouthwestFilmFestival),84
Casa de mi Padre (2012),USA:R,0001121000,5.5,18263,USA:16-March-2012,(limited),84
Casabianca (1951),USA:Approved,001.1.5000,6.0,20,USA:13-July-1952,,69
Casabianca (1951),USA:Passed,001.1.5000,6.0,20,USA:13-July-1952,,69
