name,certificate,distribution,score,amount,Date,Extra,duration
A Better Life (2011),USA:PG-13,0000013210,7.2,13931,USA:24-June-2011,(limited),98
A Better Way to Die (2000),USA:R,0001111000,5.8,1392,USA:1-October-2000,(TVpremiere),101
A Bird in the Bush (2008),USA:R,2.0.002101,6.2,27,USA:25-June-2008,(RiotCinemaFilmFestival),102
A Business Affair (1994),USA:R,0001121100,5.6,354,USA:8-December-1995,,98
A Catastrophe of Men (2005),USA:R,.1....1..6,8.2,6,USA:30-April-2005,(AkronFilmFestival),91
A Challenge for Robin Hood (1967),USA:G,0001221000,5.6,401,USA:August-1968,,85
A Chorus of Disapproval (1989),USA:PG,0001111001,5.8,624,USA:May-1989-,(SeattleInternationalFilmFestival),92
A Chorus of Disapproval (1989),USA:PG,0001111001,5.8,624,USA:21-April-1990,(HoustonFilmFestival),92
A Chorus of Disapproval (1989),USA:PG,0001111001,5.8,624,USA:1-September-1989,(limited),92
A Climate for Killing (1991),USA:R,0001121001,5.6,146,USA:18-July-1991,(videopremiere),103
A Cold Day in Hell (2011),USA:PG-13,5100000001,2.2,430,USA:28-June-2011,(DVDpremiere),95
A Countess from Hong Kong (1967),USA:G,0000121000,6.1,4276,USA:15-March-1967,,108
A Dama do Lotação (1978),USA:R,0000111100,6.1,466,USA:December-1982,,86
A Day Without a Mexican (2004),USA:R,1000111001,4.7,2891,USA:14-May-2004,(California),100
A Day Without a Mexican (2004),USA:R,1000111001,4.7,2891,USA:21-May-2004,,100
A Dirty Shame (2004),USA:R,1001111000,5.1,11191,USA:24-September-2004,,84
A Dog of Flanders (1999),USA:PG,0000111101,6.3,817,USA:27-August-1999,,100
A Far Off Place (1993),USA:PG,0000122101,6.6,2975,USA:12-March-1993,,108
A Farewell to Arms (1932),USA:Passed,0000122100,6.6,3919,USA:10-December-1949,(re-release),89
A Farewell to Arms (1932),USA:Passed,0000122100,6.6,3919,USA:8-December-1932,,89
A Further Gesture (1997),USA:R,0000122100,5.8,315,USA:20-February-1998,,96
A Girl Like Her (2015),USA:PG-13,0000012211,7.1,5746,USA:27-March-2015,,91
A Good Day to Be Black & Sexy (2008),USA:R,1000001102,5.0,403,USA:3-February-2009,(DVDpremiere),92
A Good Day to Be Black & Sexy (2008),USA:R,1000001102,5.0,403,USA:19-January-2008,(SundanceFilmFestival),92
A Good Day to Be Black & Sexy (2008),USA:R,1000001102,5.0,403,USA:5-November-2008,(AFIFilmFestival),92
A Guy Named Joe (1943),USA:Passed,0000013101,7.0,1757,USA:March-1944,,122
A Guy Named Joe (1943),USA:Approved,0000013101,7.0,1757,USA:March-1944,,122
A Handful of Dust (1988),USA:PG,0000012110,6.8,1526,USA:24-June-1988,,118
A Hero of the Big Snows (1926),USA:Passed,.....5.3.1,7.3,6,USA:24-July-1926,,67
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:18-February-2005,(limited),110
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:18-February-2005,(limited),98
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:7-November-2004,(AFMpremierescreening),110
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:7-November-2004,(AFMpremierescreening),98
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:19-April-2005,(DVDpremiere),110
A Killer Within (2004),USA:R,0011111000,5.0,675,USA:19-April-2005,(DVDpremiere),98
A Killing Affair (1986),USA:R,0001121001,5.8,200,USA:9-February-1986,,100
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:5-May-2004,(TribecaFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:1-November-2004,(ScottsdaleFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:3-April-2005,(WisconsinFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:October-2006-,(TallgrassFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:March-2004-,(SouthbySouthwestFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:15-June-2004,(CineVegasInternationalFilmFestival),93
A League of Ordinary Gentlemen (2004),USA:R,0000012111,7.1,305,USA:16-October-2004,(WoodstockFilmFestival),93
A Little Bit of Heaven (2011),USA:PG-13,0000122101,6.3,25008,USA:3-April-2012,(VideoOnDemand),106
A Little Bit of Heaven (2011),USA:PG-13,0000122101,6.3,25008,USA:4-May-2012,,106
A Little Help (2010),USA:R,0000121000,5.7,2806,USA:21-May-2010,(SeattleInternationalFilmFestival),109
A Little Help (2010),USA:R,0000121000,5.7,2806,USA:22-July-2011,,109
A Little Help (2010),USA:R,0000121000,5.7,2806,USA:30-September-2010,(SanDiegoFilmFestival),109
A Little Help (2010),USA:R,0000121000,5.7,2806,USA:7-May-2011,(CatalinaFilmFestival),109
A Lost Lady (1934),USA:Approved,0000132000,6.1,351,USA:29-September-1934,,61
A Man of No Importance (1994),USA:R,0000012201,6.9,822,USA:February-1995,,99
A Matter of Degrees (1990),USA:R,2001000101,4.9,72,USA:22-January-1990,(UnitedStatesFilmFestivalParkCity),88
A nagy füzet (2013),USA:R,0000012211,7.0,2562,USA:10-October-2013,(HamptonsInternationalFilmFestival),112
A nagy füzet (2013),USA:R,0000012211,7.0,2562,USA:4-May-2014,(MontclairFilmFestival),112
A nagy füzet (2013),USA:R,0000012211,7.0,2562,USA:17-October-2013,(ChicagoInternationalFilmFestival),112
A nagy füzet (2013),USA:R,0000012211,7.0,2562,USA:29-August-2014,(limited),112
A Night at the Opera (1935),USA:Passed,0000001212,8.0,26694,USA:15-November-1935,,91
A Night at the Opera (1935),USA:Approved,0000001212,8.0,26694,USA:3-December-1948,(re-release),91
A Night at the Opera (1935),USA:Approved,0000001212,8.0,26694,USA:15-November-1935,,91
A Night at the Opera (1935),USA:Passed,0000001212,8.0,26694,USA:3-December-1948,(re-release),91
A Night to Remember (1942),USA:Passed,0000022100,6.7,795,USA:10-December-1942,,91
A Night to Remember (1942),USA:Approved,0000022100,6.7,795,USA:10-December-1942,,91
A Nightmare in Las Cruces (2011),USA:R,1000111001,5.7,164,USA:31-May-2011,(DVDpremiere),103
A Noszty fiú esete Tóth Marival (1938),USA:Approved,0.00011203,7.5,37,USA:15-May-1938,,85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:21-August-2005,(SacramentoFilmandMusicFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:June-2005-,(BrooklynInternationalFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:5-April-2005,(MethodFestIndependentFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:13-November-2005,(AnnapolisFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:6-June-2006,(DVDpremiere),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:13-May-2005,(WestSanFernandoValleyIndieFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:15-May-2005,(EmpireFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:15-April-2005,(PalmBeachInternationalFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:13-May-2005,(FirstGlanceFilmFestival),85
A Perfect Fit (2005),USA:R,0001111001,5.3,386,USA:26-October-2005,(CaliforniaIndependentFilmFestival),85
A Perfect Vacation (2015),USA:R,1111100000,3.4,1219,USA:7-July-2015,,89
A Perfect Vacation (2015),USA:R,1111100000,3.4,1219,USA:11-April-2015,(NorthHollywoodCineFest),89
A Perfect Vacation (2015),USA:R,1111100000,3.4,1219,USA:17-April-2015,(BuffaloNiagaraFilmFestival),89
A Rage in Harlem (1991),USA:R,0000121100,5.9,1610,USA:3-May-1991,,115
A River of Skulls (2010),USA:R,10..30.1.0,5.1,11,USA:30-October-2011,(re-editedversion),100
A River of Skulls (2010),USA:R,10..30.1.0,5.1,11,USA:26-August-2014,(DVDpremiere),100
A Run for Your Money (1949),USA:Approved,0000112100,6.8,384,USA:8-April-1950,,83
A Simple Promise (2008),USA:PG-13,2000100002,5.0,88,USA:27-May-2008,,95
A Single Woman (2008),USA:PG,1001100.03,6.1,46,USA:15-April-2009,(limited),95
A Sound of Thunder (2005),USA:PG-13,1111110000,4.2,17277,USA:2-September-2005,,101
A Sound of Thunder (2005),USA:PG-13,1111110000,4.2,17277,USA:2-September-2005,,110
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:15-October-2014,(ChicagoInternationalFilmFestival),154
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:15-October-2014,(ChicagoInternationalFilmFestival),176
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:1-October-1954,(limited),154
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:1-October-1954,(limited),176
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:16-October-1954,,154
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:16-October-1954,,176
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:22-April-2010,(TCMClassicFilmFestival),154
A Star Is Born (1954),USA:PG,0000001212,7.8,11576,USA:22-April-2010,(TCMClassicFilmFestival),176
A Tale of Two Cities (1935),USA:Passed,0000001211,7.8,4296,USA:25-December-1935,,121
A Tale of Two Cities (1935),USA:Approved,0000001211,7.8,4296,USA:25-December-1935,,121
A Taste of Hell (1973),USA:PG,00121000.1,5.1,61,USA:December-1973,,90
A Thousand and One Nights (1945),USA:Approved,0000122000,6.1,395,USA:20-July-1945,,93
A Twist of Sand (1968),USA:G,0.01321000,5.9,97,USA:9-October-1968,(limited),90
A Twist of Sand (1968),USA:G,0.01321000,5.9,97,USA:October-1968-,(Mid-SouthFair),90
A Very Natural Thing (1974),USA:R,0000012111,6.7,566,USA:May-1994-,(NewYorkLesbianandGayFilmFestival),86
A Viking Saga: The Darkest Day (2013),USA:R,1011100001,4.2,1164,USA:23-July-2013,(DVDpremiere),88
A Woman Hunted (2003),USA:PG-13,0011210000,4.8,334,USA:1-June-2003,,94
A World Apart (1988),USA:PG,0000012201,7.1,1252,USA:17-June-1988,,113
A Yank at Oxford (1938),USA:Approved,1000012100,6.7,875,USA:18-February-1938,,102
A Yank at Oxford (1938),USA:Passed,1000012100,6.7,875,USA:18-February-1938,,102
A Year in Mooring (2011),USA:PG-13,0000111101,5.7,705,USA:25-May-2012,(limited),88
A Year in Mooring (2011),USA:PG-13,0000111101,5.7,705,USA:30-October-2011,(SavannahFilmandVideoFestival),88
Abducted II: The Reunion (1995),USA:R,1111000.01,3.6,131,USA:4-January-1995,(videopremiere),92
Abduction (2009),USA:R,3110000001,3.5,181,USA:20-August-2013,(Blu-raypremiere),108
Abduction (2009),USA:R,3110000001,3.5,181,USA:1-August-2009,(limited),108
Abduction (2009),USA:R,3110000001,3.5,181,USA:15-January-2012,(TheSeveredHeadHorrorFilmFestival),108
Abduction (2009),USA:R,3110000001,3.5,181,USA:25-August-2009,(DVDpremiere),108
Abdul the Damned (1935),USA:Approved,0.00121101,6.5,51,USA:10-May-1936,,79
Abdul the Damned (1935),USA:Passed,0.00121101,6.5,51,USA:10-May-1936,,79
Abigail Lesley Is Back in Town (1975),USA:R,0000112100,6.0,305,USA:September-1975,,100
Ablaze (2001),USA:R,2111000000,3.3,507,USA:16-July-2002,(DVDpremiere),97
About Adam (2000),USA:R,0000122100,5.9,5956,USA:28-January-2000,(SundanceFilmFestival),105
About Adam (2000),USA:R,0000122100,5.9,5956,USA:18-May-2001,(limited),105
About Fifty (2011),USA:R,0001210001,5.2,282,USA:14-February-2012,(DVDpremiere),88
About Fifty (2011),USA:R,0001210001,5.2,282,USA:10-November-2011,(DaytonaBeachFilmFestival),88
About Fifty (2011),USA:R,0001210001,5.2,282,USA:12-June-2011,(WaterfrontFilmFestival),88
About Fifty (2011),USA:R,0001210001,5.2,282,USA:1-May-2011,(AtlantaFilmFestival),88
About Fifty (2011),USA:R,0001210001,5.2,282,USA:7-January-2011,(PalmSpringsInternationalFilmFestival),88
